品目,数量,単位,高値,中値,安値,主な産地,日付,元ファイル
あじ,135,1kg,1512,0,1404,宮城  大阪  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
さば,1404,1kg,486,0,378,富山  千葉  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
まいわし,212,1kg,1100,0,500,石川  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
養成ぶり,351,1kg,1900,0,850,熊本  長崎  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
かつお,4296,1kg,648,0,432,高知  鹿児島  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
養成まだい,4924,1kg,1300,0,810,愛媛  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
さわら,812,1kg,756,0,540,京都  三重  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
かれい,514,1kg,1200,0,300,宮城  北海道  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
養成はまち,555,1kg,1300,0,950,高知  徳島  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
養成かんぱち,1240,1kg,1950,0,1640,鹿児島  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
するめいか,971,1kg,1080,0,972,宮城  石川  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
いさぎ,609,1kg,0,0,0,長崎  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
さけ,3183,1kg,2160,0,1944,宮城  ﾉﾙｳｪｰ  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
はも,1454,1kg,8500,0,300,宮崎  大分  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
あさり,755,1kg,1620,0,486,中国  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
あゆ,311,1kg,1944,0,1080,岐阜  滋賀  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
冷凍たこ,0,0,0,0,0,,令和6年6月24日（月）,suiexcel-13 (27).xlsx
冷凍えび,1571,1kg,5400,2484,1350,ｲﾝﾄﾞ  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
冷凍うなぎ蒲焼,750,1kg,9180,3348,2052,中国  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
塩さば,730,1kg,920,0,530,ﾉﾙｳｪｰ  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
塩さけ,1618,1kg,1550,0,500,ﾁﾘ  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
塩すけそうこ,84,1kg,2640,0,1900,ｱﾒﾘｶ  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
開干さんま,203,1kg,2160,0,1296,北海道  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
開干あじ,559,1kg,1944,0,1080,長崎  島根  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
若干かれい,300,1kg,1944,0,864,島根  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
ちりめん,2790,1kg,3456,0,2700,兵庫  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
なまりぶし,20,1kg,1000,0,900,静岡  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
茹たこ,423,1kg,2800,0,1550,ﾓﾛｯｺ  ﾓｰﾘﾀﾆｱ  他,令和6年6月24日（月）,suiexcel-13 (27).xlsx
くろまぐろ,769,1kg,3996,3456,2700,長崎  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
きわだ,1143,1kg,3000,0,600,宮崎  沖縄  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
あじ,1883,1kg,864,0,756,和歌山  大阪  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
さば,2591,1kg,486,0,378,三重  千葉  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
まいわし,855,1kg,486,0,378,長崎  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
養成ぶり,378,1kg,1900,0,900,熊本  長崎  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
かつお,6199,1kg,432,0,216,高知  鹿児島  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
養成まだい,3778,1kg,1300,0,870,愛媛  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
さわら,490,1kg,648,0,432,福井  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
かれい,341,1kg,4000,0,400,宮城  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
養成はまち,445,1kg,1300,0,950,高知  宮崎  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
養成かんぱち,1174,1kg,1950,0,1720,鹿児島  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
するめいか,995,1kg,1080,0,972,宮城  石川  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
いさぎ,58,1kg,972,0,756,和歌山  長崎  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
さけ,2780,1kg,1944,0,1728,宮城  ﾉﾙｳｪｰ  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
はも,2089,1kg,2300,0,300,愛媛  大分  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
あさり,817,1kg,1620,0,432,北海道  中国  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
あゆ,314,1kg,2160,0,756,岐阜  滋賀  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
冷凍たこ,0,0,0,0,0,,令和6年6月27日（木）,suiexcel-14 (22).xlsx
冷凍えび,1327,1kg,5400,2484,1350,ｲﾝﾄﾞ  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
冷凍うなぎ蒲焼,730,1kg,9180,3348,2052,中国  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
塩さば,1334,1kg,1430,0,530,ﾉﾙｳｪｰ  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
塩さけ,2276,1kg,1500,0,860,ﾁﾘ  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
塩すけそうこ,451,1kg,2640,0,1000,ｱﾒﾘｶ  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
開干さんま,212,1kg,2160,0,1296,北海道  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
開干あじ,238,1kg,1944,0,1080,長崎  島根  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
若干かれい,200,1kg,1944,0,864,島根  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
ちりめん,6540,1kg,2700,0,540,兵庫  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
なまりぶし,107,1kg,1000,1000,1000,静岡  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
茹たこ,295,1kg,2600,0,1550,ﾓﾛｯｺ  ﾓｰﾘﾀﾆｱ  他,令和6年6月27日（木）,suiexcel-14 (22).xlsx
くろまぐろ,808,1kg,3888,3240,1944,長崎  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
きわだ,1373,1kg,1620,1080,432,ｲﾝﾄﾞﾈｼｱ  沖縄  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
あじ,2565,1kg,648,0,540,兵庫  大阪  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
さば,2000,1kg,600,0,300,千葉  富山  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
まいわし,1445,1kg,378,0,270,千葉  石川  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
養成ぶり,497,1kg,1900,0,900,熊本  長崎  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
かつお,4113,1kg,648,0,432,高知  鹿児島  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
養成まだい,3314,1Kg,1350,0,540,愛媛  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
さわら,1330,1kg,648,0,432,京都  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
かれい,66,1kg,4000,0,900,宮城  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
養成はまち,367,1kg,1404,0,432,宮崎  高知  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
養成かんぱち,858,1kg,2160,0,1080,鹿児島  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
するめいか,0,0,0,0,0,,令和6年6月28日（金）,suiexcel-15 (20).xlsx
いさぎ,135,1kg,1620,0,1404,長崎  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
さけ,2140,1kg,2052,0,1836,宮城  ﾉﾙｳｪｰ  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
はも,1737,1kg,2300,0,300,兵庫  大分  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
あさり,704,1kg,1620,0,378,北海道  中国  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
あゆ,387,1kg,1944,0,648,岐阜  滋賀  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
冷凍たこ,0,0,0,0,0,,令和6年6月28日（金）,suiexcel-15 (20).xlsx
冷凍えび,1440,1kg,5400,2484,1350,ｲﾝﾄﾞ  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
冷凍うなぎ蒲焼,1260,1kg,9180,3348,2052,中国  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
塩さば,420,1kg,2100,0,520,ﾉﾙｳｪｰ  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
塩さけ,2696,1kg,2270,0,650,ﾁﾘ  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
塩すけそうこ,393,1kg,2780,0,980,ｱﾒﾘｶ  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
開干さんま,123,1kg,2160,0,1296,北海道  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
開干あじ,272,1kg,1944,0,1080,長崎  島根  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
若干かれい,100,1kg,1944,0,864,島根  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
ちりめん,3025,1kg,3024,0,540,兵庫  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
なまりぶし,20,1kg,2000,0,900,静岡  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
茹たこ,432,1kg,2800,0,1800,ﾓﾛｯｺ  ﾓｰﾘﾀﾆｱ  他,令和6年6月28日（金）,suiexcel-15 (20).xlsx
くろまぐろ,1261,1Kg,3888,3456,1620,長崎  三重  他,令和6年7月1日（月）,suiexcel (138).xls
きわだ,584,1kg,1400,0,600,宮崎  沖縄  他,令和6年7月1日（月）,suiexcel (138).xls
あじ,1726,1kg,2500,0,300,兵庫  三重  他,令和6年7月1日（月）,suiexcel (138).xls
さば,1960,1Kg,432,0,324,鳥取  ﾉﾙｳｪｰ  他,令和6年7月1日（月）,suiexcel (138).xls
まいわし,1135,1Kg,432,0,324,長崎  千葉  他,令和6年7月1日（月）,suiexcel (138).xls
養成ぶり,395,1kg,1900,0,850,熊本  長崎  他,令和6年7月1日（月）,suiexcel (138).xls
かつお,4899,1Kg,432,0,216,高知  宮城  他,令和6年7月1日（月）,suiexcel (138).xls
養成まだい,4761,1kg,1300,0,810,愛媛  他,令和6年7月1日（月）,suiexcel (138).xls
養成はまち,453,1kg,1300,0,950,高知  宮崎  他,令和6年7月1日（月）,suiexcel (138).xls
養成かんぱち,1245,1kg,1950,0,1650,愛媛  鹿児島  他,令和6年7月1日（月）,suiexcel (138).xls
するめいか,915,1kg,1200,0,500,石川  宮城  他,令和6年7月1日（月）,suiexcel (138).xls
さけ,2802,1kg,2680,0,1040,三重  宮城  他,令和6年7月1日（月）,suiexcel (138).xls
はも,1045,1Kg,1404,0,864,愛媛  兵庫  他,令和6年7月1日（月）,suiexcel (138).xls
たちうお,60,1Kg,2916,0,2592,鹿児島  他,令和6年7月1日（月）,suiexcel (138).xls
たこ,471,1kg,3900,0,1600,兵庫  他,令和6年7月1日（月）,suiexcel (138).xls
あさり,802,1Kg,1620,0,486,北海道  熊本  他,令和6年7月1日（月）,suiexcel (138).xls
養成うなぎ,175,1Kg,6480,0,4320,愛知  中国  他,令和6年7月1日（月）,suiexcel (138).xls
あゆ,318,1Kg,1944,0,1080,岐阜  愛知  他,令和6年7月1日（月）,suiexcel (138).xls
冷凍たこ,0,0,0,0,0,,令和6年7月1日（月）,suiexcel (138).xls
冷凍えび,1612,1Kg,5400,2484,1350,ｲﾝﾄﾞ  他,令和6年7月1日（月）,suiexcel (138).xls
冷凍うなぎ蒲焼,7580,1kg,8500,0,2170,中国  他,令和6年7月1日（月）,suiexcel (138).xls
塩さば,2152,1kg,920,0,530,ﾉﾙｳｪｰ  他,令和6年7月1日（月）,suiexcel (138).xls
塩さけ,7451,1kg,1550,0,880,ﾁﾘ  他,令和6年7月1日（月）,suiexcel (138).xls
塩すけそうこ,436,1kg,6670,0,2000,ﾛｼｱ ｱﾒﾘｶ  他,令和6年7月1日（月）,suiexcel (138).xls
丸干いわし,1361,1kg,3500,0,600,島根    他,令和6年7月1日（月）,suiexcel (138).xls
開干さんま,232,1Kg,2160,0,1296,北海道  他,令和6年7月1日（月）,suiexcel (138).xls
開干あじ,991,1Kg,1944,0,1080,長崎  島根  他,令和6年7月1日（月）,suiexcel (138).xls
若干かれい,200,1Kg,1944,0,864,島根  他,令和6年7月1日（月）,suiexcel (138).xls
ちりめん,4900,1Kg,3888,0,1728,徳島  兵庫  香川  宮崎  他,令和6年7月1日（月）,suiexcel (138).xls
なまりぶし,20,1kg,980,0,900,静岡  他,令和6年7月1日（月）,suiexcel (138).xls
くろまぐろ,1173,1Kg,3996,3456,2160,和歌山  三重  他,令和6年7月2日（火）,suiexcel-1 (90).xls
きわだ,1046,1Kg,1404,1296,972,宮崎  沖縄  他,令和6年7月2日（火）,suiexcel-1 (90).xls
あじ,792,1kg,1000,0,330,兵庫  三重  他,令和6年7月2日（火）,suiexcel-1 (90).xls
さば,2305,1Kg,324,0,216,宮城  ﾉﾙｳｪｰ  他,令和6年7月2日（火）,suiexcel-1 (90).xls
まいわし,330,1Kg,432,0,324,長崎  他,令和6年7月2日（火）,suiexcel-1 (90).xls
養成ぶり,330,1kg,1950,0,1050,熊本  長崎  他,令和6年7月2日（火）,suiexcel-1 (90).xls
かつお,3804,1Kg,756,0,540,高知  宮城  他,令和6年7月2日（火）,suiexcel-1 (90).xls
養成まだい,3055,1Kg,1350,0,540,愛媛  他,令和6年7月2日（火）,suiexcel-1 (90).xls
養成はまち,339,1Kg,1404,0,432,宮崎  高知  他,令和6年7月2日（火）,suiexcel-1 (90).xls
養成かんぱち,973,1Kg,2160,0,432,鹿児島  愛媛  他,令和6年7月2日（火）,suiexcel-1 (90).xls
するめいか,417,1Kg,1188,0,1080,宮城  石川  他,令和6年7月2日（火）,suiexcel-1 (90).xls
さけ,2467,1kg,3000,0,1100,三重  宮城  他,令和6年7月2日（火）,suiexcel-1 (90).xls
はも,1279,1Kg,1512,0,864,愛媛  兵庫  他,令和6年7月2日（火）,suiexcel-1 (90).xls
たちうお,112,1Kg,3996,0,3780,鹿児島  他,令和6年7月2日（火）,suiexcel-1 (90).xls
たこ,259,1kg,3900,0,1400,兵庫  他,令和6年7月2日（火）,suiexcel-1 (90).xls
あさり,617,1Kg,1620,0,432,韓国  中国  他,令和6年7月2日（火）,suiexcel-1 (90).xls
養成うなぎ,230,1Kg,6480,0,4320,愛知  中国  他,令和6年7月2日（火）,suiexcel-1 (90).xls
あゆ,493,1Kg,1944,0,1080,岐阜  愛知  他,令和6年7月2日（火）,suiexcel-1 (90).xls
冷凍たこ,0,0,0,0,0,,令和6年7月2日（火）,suiexcel-1 (90).xls
冷凍えび,1725,1kg,4800,0,920,ｲﾝﾄﾞ  他,令和6年7月2日（火）,suiexcel-1 (90).xls
冷凍うなぎ蒲焼,1410,1Kg,9180,3348,2052,中国  他,令和6年7月2日（火）,suiexcel-1 (90).xls
塩さば,2354,1kg,920,0,480,ﾉﾙｳｪｰ  他,令和6年7月2日（火）,suiexcel-1 (90).xls
塩さけ,3191,1kg,1550,0,800,ﾁﾘ  他,令和6年7月2日（火）,suiexcel-1 (90).xls
塩すけそうこ,385,1kg,2640,0,1050,ﾛｼｱ  ｱﾒﾘｶ  他,令和6年7月2日（火）,suiexcel-1 (90).xls
丸干いわし,300,1Kg,1296,1296,1296,国産  他,令和6年7月2日（火）,suiexcel-1 (90).xls
開干さんま,203,1Kg,2160,0,1296,北海道  他,令和6年7月2日（火）,suiexcel-1 (90).xls
開干あじ,391,1Kg,1944,0,972,長崎  島根  他,令和6年7月2日（火）,suiexcel-1 (90).xls
若干かれい,260,1Kg,1620,0,972,兵庫  島根  大分  他,令和6年7月2日（火）,suiexcel-1 (90).xls
ちりめん,5987,1Kg,2268,0,1512,兵庫  福島  宮崎  他,令和6年7月2日（火）,suiexcel-1 (90).xls
なまりぶし,21,1kg,2000,0,1130,静岡  他,令和6年7月2日（火）,suiexcel-1 (90).xls
くろまぐろ,632,1Kg,3888,3564,2700,長崎  三重  他,令和6年7月4日（木）,suiexcel-2 (89).xls
きわだ,1220,1Kg,1404,1080,486,宮崎  沖縄  他,令和6年7月4日（木）,suiexcel-2 (89).xls
あじ,1960,1Kg,432,0,324,兵庫  他,令和6年7月4日（木）,suiexcel-2 (89).xls
さば,2325,1kg,700,0,300,ﾉﾙｳｪｰ  鹿児島  他,令和6年7月4日（木）,suiexcel-2 (89).xls
まいわし,516,1kg,470,0,380,千葉  他,令和6年7月4日（木）,suiexcel-2 (89).xls
養成ぶり,299,1Kg,1296,0,972,長崎  熊本  他,令和6年7月4日（木）,suiexcel-2 (89).xls
かつお,2165,1Kg,972,0,756,高知  宮城  他,令和6年7月4日（木）,suiexcel-2 (89).xls
養成まだい,3787,1kg,1250,0,810,愛媛  他,令和6年7月4日（木）,suiexcel-2 (89).xls
養成はまち,477,1kg,1300,0,970,高知  宮崎  他,令和6年7月4日（木）,suiexcel-2 (89).xls
養成かんぱち,1076,1kg,1900,0,1650,愛媛  鹿児島  他,令和6年7月4日（木）,suiexcel-2 (89).xls
するめいか,105,1kg,1000,0,960,石川  長崎  他,令和6年7月4日（木）,suiexcel-2 (89).xls
さけ,2663,1kg,2680,0,1140,三重  宮城  他,令和6年7月4日（木）,suiexcel-2 (89).xls
はも,1932,1kg,9000,0,500,愛媛  兵庫  他,令和6年7月4日（木）,suiexcel-2 (89).xls
たちうお,158,1Kg,3240,0,3024,宮崎  他,令和6年7月4日（木）,suiexcel-2 (89).xls
たこ,706,1Kg,1944,0,1188,香川  兵庫  他,令和6年7月4日（木）,suiexcel-2 (89).xls
あさり,633,1Kg,1620,0,486,韓国  中国  他,令和6年7月4日（木）,suiexcel-2 (89).xls
養成うなぎ,615,1Kg,6480,0,1080,愛知  中国  他,令和6年7月4日（木）,suiexcel-2 (89).xls
あゆ,270,1Kg,1944,0,1296,岐阜  愛知  他,令和6年7月4日（木）,suiexcel-2 (89).xls
冷凍たこ,0,0,0,0,0,,令和6年7月4日（木）,suiexcel-2 (89).xls
冷凍えび,1456,1Kg,5400,2484,1350,ｲﾝﾄﾞ  他,令和6年7月4日（木）,suiexcel-2 (89).xls
冷凍うなぎ蒲焼,2038,1Kg,9180,3348,2052,中国  他,令和6年7月4日（木）,suiexcel-2 (89).xls
塩さば,852,1kg,920,0,530,ﾉﾙｳｪｰ  他,令和6年7月4日（木）,suiexcel-2 (89).xls
塩さけ,2078,1kg,1600,0,520,ﾁﾘ  他,令和6年7月4日（木）,suiexcel-2 (89).xls
塩すけそうこ,47,1kg,2780,0,1050,ﾛｼｱ  他,令和6年7月4日（木）,suiexcel-2 (89).xls
丸干いわし,383,1Kg,1080,1080,1080,島根  他,令和6年7月4日（木）,suiexcel-2 (89).xls
開干さんま,216,1Kg,2160,0,1296,北海道  他,令和6年7月4日（木）,suiexcel-2 (89).xls
開干あじ,416,1Kg,1944,0,1080,長崎  島根  他,令和6年7月4日（木）,suiexcel-2 (89).xls
若干かれい,256,1Kg,1944,0,864,兵庫  大分  他,令和6年7月4日（木）,suiexcel-2 (89).xls
ちりめん,3369,1Kg,3888,0,1080,兵庫  宮崎  他,令和6年7月4日（木）,suiexcel-2 (89).xls
なまりぶし,46,1kg,1000,0,950,静岡  他,令和6年7月4日（木）,suiexcel-2 (89).xls
くろまぐろ,662,1kg,3780,3456,2700,長崎  三重  他,令和6年7月5日（金）,suiexcel-3 (88).xls
きわだ,1318,1kg,1296,972,270,宮崎  沖縄  他,令和6年7月5日（金）,suiexcel-3 (88).xls
あじ,1580,1kg,2500,0,300,兵庫  宮城  他,令和6年7月5日（金）,suiexcel-3 (88).xls
さば,2940,1kg,700,0,300,ﾉﾙｳｪｰ  富山  他,令和6年7月5日（金）,suiexcel-3 (88).xls
まいわし,923,1kg,1200,0,350,千葉  他,令和6年7月5日（金）,suiexcel-3 (88).xls
養成ぶり,361,1kg,1900,0,950,熊本  長崎  他,令和6年7月5日（金）,suiexcel-3 (88).xls
かつお,3424,1kg,864,0,648,高知  宮城  他,令和6年7月5日（金）,suiexcel-3 (88).xls
養成まだい,3201,1Kg,1350,0,540,愛媛  他,令和6年7月5日（金）,suiexcel-3 (88).xls
養成はまち,433,1kg,1404,0,432,宮崎  高知  他,令和6年7月5日（金）,suiexcel-3 (88).xls
養成かんぱち,936,1kg,2160,0,1080,鹿児島  愛媛  他,令和6年7月5日（金）,suiexcel-3 (88).xls
するめいか,275,1kg,1242,0,1134,宮城  石川  他,令和6年7月5日（金）,suiexcel-3 (88).xls
さけ,2364,1kg,2160,0,1944,宮城  三重  他,令和6年7月5日（金）,suiexcel-3 (88).xls
はも,1436,1kg,7000,0,300,兵庫  他,令和6年7月5日（金）,suiexcel-3 (88).xls
たちうお,245,1kg,2592,0,2376,熊本  他,令和6年7月5日（金）,suiexcel-3 (88).xls
たこ,559,1kg,1944,0,1080,兵庫  他,令和6年7月5日（金）,suiexcel-3 (88).xls
あさり,752,1kg,1620,0,594,韓国  中国  他,令和6年7月5日（金）,suiexcel-3 (88).xls
養成うなぎ,410,1kg,6480,0,4320,愛知  中国  他,令和6年7月5日（金）,suiexcel-3 (88).xls
あゆ,368,1kg,1944,0,756,岐阜  愛知  他,令和6年7月5日（金）,suiexcel-3 (88).xls
冷凍たこ,0,0,0,0,0,,令和6年7月5日（金）,suiexcel-3 (88).xls
冷凍えび,1642,1kg,3330,0,920,ｲﾝﾄﾞ  他,令和6年7月5日（金）,suiexcel-3 (88).xls
冷凍うなぎ蒲焼,1700,1kg,9180,3348,2052,中国  他,令和6年7月5日（金）,suiexcel-3 (88).xls
塩さば,1466,1kg,1430,0,600,ﾉﾙｳｪｰ  他,令和6年7月5日（金）,suiexcel-3 (88).xls
塩さけ,3107,1kg,2100,0,250,ﾁﾘ  他,令和6年7月5日（金）,suiexcel-3 (88).xls
塩すけそうこ,143,1kg,3900,0,1050,ﾛｼｱ ｱﾒﾘｶ  他,令和6年7月5日（金）,suiexcel-3 (88).xls
丸干いわし,323,1kg,1080,1080,1080,島根  他,令和6年7月5日（金）,suiexcel-3 (88).xls
開干さんま,224,1kg,2160,0,1296,北海道  他,令和6年7月5日（金）,suiexcel-3 (88).xls
開干あじ,387,1kg,1944,0,1080,長崎  島根  他,令和6年7月5日（金）,suiexcel-3 (88).xls
若干かれい,200,1kg,1944,0,864,島根  他,令和6年7月5日（金）,suiexcel-3 (88).xls
ちりめん,3485,1kg,3888,0,1080,徳島  兵庫  香川  宮崎  他,令和6年7月5日（金）,suiexcel-3 (88).xls
なまりぶし,16,1kg,1950,0,1130,静岡  他,令和6年7月5日（金）,suiexcel-3 (88).xls
くろまぐろ,1721,1Kg,3996,3240,2160,和歌山  三重  他,令和6年7月13日（土）,suiexcel-4 (86).xls
きわだ,1882,1Kg,1566,1188,324,和歌山  沖縄  他,令和6年7月13日（土）,suiexcel-4 (86).xls
あじ,2460,1Kg,918,0,810,長崎  兵庫  他,令和6年7月13日（土）,suiexcel-4 (86).xls
さば,2754,1Kg,594,0,486,三重  ﾉﾙｳｪｰ  他,令和6年7月13日（土）,suiexcel-4 (86).xls
まいわし,1825,1Kg,432,0,324,長崎  千葉  他,令和6年7月13日（土）,suiexcel-4 (86).xls
養成ぶり,645,1kg,1920,0,1050,熊本  長崎  他,令和6年7月13日（土）,suiexcel-4 (86).xls
かつお,7177,1Kg,756,0,540,高知  宮城  他,令和6年7月13日（土）,suiexcel-4 (86).xls
養成まだい,5215,1kg,1200,0,600,愛媛  他,令和6年7月13日（土）,suiexcel-4 (86).xls
養成はまち,501,1Kg,1404,0,432,宮崎  高知  他,令和6年7月13日（土）,suiexcel-4 (86).xls
養成かんぱち,1305,1Kg,2160,0,648,鹿児島  愛媛  他,令和6年7月13日（土）,suiexcel-4 (86).xls
するめいか,1065,1Kg,1296,0,1188,兵庫  石川  他,令和6年7月13日（土）,suiexcel-4 (86).xls
さけ,2599,1Kg,2160,0,1944,宮城  三重  他,令和6年7月13日（土）,suiexcel-4 (86).xls
はも,1888,1Kg,2376,0,864,愛媛  兵庫  他,令和6年7月13日（土）,suiexcel-4 (86).xls
たちうお,117,1Kg,3024,0,2808,大分  他,令和6年7月13日（土）,suiexcel-4 (86).xls
たこ,611,1kg,3900,0,1300,兵庫  他,令和6年7月13日（土）,suiexcel-4 (86).xls
あさり,757,1Kg,1620,0,540,韓国  熊本  他,令和6年7月13日（土）,suiexcel-4 (86).xls
養成うなぎ,355,1Kg,5940,0,3780,愛知  中国  他,令和6年7月13日（土）,suiexcel-4 (86).xls
あゆ,824,1Kg,1944,0,1080,岐阜  愛知  他,令和6年7月13日（土）,suiexcel-4 (86).xls
冷凍たこ,0,0,0,0,0,,令和6年7月13日（土）,suiexcel-4 (86).xls
冷凍えび,2361,1kg,13000,0,920,ｲﾝﾄﾞ  他,令和6年7月13日（土）,suiexcel-4 (86).xls
冷凍うなぎ蒲焼,1632,1Kg,9180,3348,2052,中国  他,令和6年7月13日（土）,suiexcel-4 (86).xls
塩さば,2464,1kg,1430,0,500,ﾉﾙｳｪｰ  他,令和6年7月13日（土）,suiexcel-4 (86).xls
塩さけ,2096,1kg,2100,0,250,ﾁﾘ  他,令和6年7月13日（土）,suiexcel-4 (86).xls
塩すけそうこ,413,1kg,2830,0,980,ﾛｼｱ　ｱﾒﾘｶ  他,令和6年7月13日（土）,suiexcel-4 (86).xls
丸干いわし,200,1Kg,1296,1296,1296,国産  他,令和6年7月13日（土）,suiexcel-4 (86).xls
開干さんま,216,1Kg,2160,0,1296,北海道  他,令和6年7月13日（土）,suiexcel-4 (86).xls
開干あじ,329,1Kg,1944,0,1080,長崎  島根  他,令和6年7月13日（土）,suiexcel-4 (86).xls
若干かれい,268,1Kg,1944,0,864,島根  他,令和6年7月13日（土）,suiexcel-4 (86).xls
ちりめん,566,1Kg,2916,0,1620,福島  兵庫  宮崎  他,令和6年7月13日（土）,suiexcel-4 (86).xls
なまりぶし,19,1kg,2000,0,900,静岡  他,令和6年7月13日（土）,suiexcel-4 (86).xls
くろまぐろ,1310,1Kg,3996,3780,3564,三重  他,令和6年7月16日（火）,suiexcel-5 (73).xls
きわだ,1160,1Kg,1512,1188,216,和歌山  沖縄  他,令和6年7月16日（火）,suiexcel-5 (73).xls
あじ,2665,1Kg,972,0,540,三重  兵庫  他,令和6年7月16日（火）,suiexcel-5 (73).xls
さば,1700,1Kg,540,0,324,富山  ﾉﾙｳｪｰ  他,令和6年7月16日（火）,suiexcel-5 (73).xls
まいわし,1400,1kg,600,0,280,千葉  長崎  他,令和6年7月16日（火）,suiexcel-5 (73).xls
養成ぶり,343,1kg,1900,0,1050,熊本  長崎  他,令和6年7月16日（火）,suiexcel-5 (73).xls
かつお,7008,1Kg,540,0,324,高知  宮城  他,令和6年7月16日（火）,suiexcel-5 (73).xls
養成まだい,6773,1kg,1300,0,860,愛媛  他,令和6年7月16日（火）,suiexcel-5 (73).xls
養成はまち,641,1kg,1300,0,900,高知  宮崎  他,令和6年7月16日（火）,suiexcel-5 (73).xls
